"Player.Name.","X.Team.","fg.","fga.","xpt.","fpts."
"Stephen Gostkowski","NE",32.6,36.5,50.3,148.1
"Phil Dawson","SF",31.1,34.5,44.9,138.3
"Justin Tucker","BAL",33.5,37.3,33.8,134.3
"Matt Prater","DEN",24.8,28.1,59.9,134.1
"Mason Crosby","GB",27.8,32.8,50.8,134
"Steven Hauschka","SEA",29.9,33.5,44.3,133.9
"Adam Vinatieri","IND",31.1,34.6,39.1,132.5
"Dan Bailey","DAL",29,31.8,43.4,130.4
"Shayne Graham","NO",26.1,30.5,52,130.4
"Nick Novak","SD",29.5,33.8,40.5,129
"Matt Bryant","ATL",29,33.1,40.4,127.4
"Robbie Gould","CHI",26.6,30.6,43,122.9
"Alex Henery","PHI",24.8,30.1,46,120.3
"Blair Walsh","MIN",27.1,32.4,36.8,118.1
"Shaun Suisham","PIT",26,29.8,40.1,118.1
"Jay Feely","ARI",26.6,32.5,34.5,114.4
"Greg Zuerlein","STL",25.4,30.9,38,114.1
"Dan Carpenter","BUF",26,30.4,35.9,113.9
"Ryan Succop","KC",24.4,29.8,40.5,113.6
"Caleb Sturgis","MIA",26.4,32,34.1,113.3
"Sebastian Janikowski","OAK",25.1,30.1,36.5,111.9
"Graham Gano","CAR",24.9,28.9,37,111.6
"Nick Folk","NYJ",25.8,31.9,33.9,111.1
"Mike Nugent","CIN",22.5,26.4,42,109.5
"Josh Brown","NYG",25,29.8,34.4,109.4
"Connor Barth","TB",24.3,30,32.8,105.5
"Randy Bullock","HOU",23.5,30.4,33.1,103.6
"Josh Scobee","JAC",23.6,27.3,31,101.9
"Billy Cundiff","CLE",21.9,26.9,34.5,100.1
"Kai Forbath","WAS",22.1,27.1,32.8,99.1
"Maikon Bonani","TEN",21.6,27.4,31,95.9
"Nate Freese","DET",19.2,22.8,37.7,95.2
"Giorgio Tavecchio","DET",16.5,21,21.8,71.3
"Dustin Hopkins","BUF",2.3,3.8,0,6.8
