"Player.Name.","X.Team.","pass_att.","pass_cmp.","pass_yds.","pass_tds.","pass_ints.","rush_att.","rush_yds.","rush_tds.","fumbles.","fpts."
"Peyton Manning","DEN",639.4,433,5276.7,45.4,12,22.5,-2.6,0,3,362.4
"Aaron Rodgers","GB",544.1,361.3,4554,37.4,8.1,49.6,216.6,2,2,345.2
"Drew Brees","NO",641.5,428.2,5058.5,39.8,14.3,27.5,50.9,0.5,2,337
"Colin Kaepernick","SF",470.6,287.1,3805.8,26.1,10.1,91.1,506.4,4.1,2,307.7
"Matthew Stafford","DET",641.4,390.2,4792,33.7,16.7,31.5,81.9,1.2,2.5,303.5
"Nick Foles","PHI",536.2,345.1,4354.6,29.6,12.2,63.4,240.2,2.1,3,298.8
"Andrew Luck","IND",584.9,358.2,4241,25.8,10.7,61.3,316.7,3.3,3,296.9
"Robert Griffin III","WAS",494.7,305.2,3819.6,23.6,12.3,98.3,541.6,4,2,296.7
"Cam Newton","CAR",487.5,293.5,3614.3,21.9,14.6,111,585.2,6.3,2.5,294.3
"Matt Ryan","ATL",634,420.3,4712.3,29.9,14.4,26,68.1,0.8,2,286.9
"Tom Brady","NE",633.9,397.7,4538.6,30.6,11.7,26,27.5,1.1,3,283.9
"Tony Romo","DAL",618.7,398,4496.5,31.2,15.7,23.8,41.9,0.5,2.5,275.5
"Russell Wilson","SEA",436.2,274.8,3548.8,25.5,12.2,90.2,457.9,2.5,3.5,273.3
"Jay Cutler","CHI",544.7,340.3,4036.6,29.9,14.3,31.9,160.7,1,3,268.5
"Philip Rivers","SD",558.7,371,4476.1,29.1,14.2,27.7,52.7,0,3.5,265.3
"Ben Roethlisberger","PIT",583.5,371.3,4240.8,28.4,13.9,28,90.5,1,3.5,263.5
"Andy Dalton","CIN",530.5,328.2,3776.7,27.8,15.1,51.7,148.4,1.5,3,249.9
"Ryan Tannehill","MIA",576.7,350.1,4063.2,22.8,16.5,48.5,239.1,1.3,3.5,245.4
"Alex Smith","KC",530.7,319.9,3514.6,22.1,9,65.9,313.9,1.3,3,244.2
"Carson Palmer","ARI",565.6,351.8,4288.1,28.4,19.7,19.1,12.8,0,3.5,240
"Joe Flacco","BAL",564.1,342,3971.9,24.1,16.7,32.8,81.5,0.7,3,228.2
"Sam Bradford","STL",549.6,332.3,3681.7,25,13.8,29.6,85.6,0.8,2.5,228
"Eli Manning","NYG",546.3,335.8,3970.5,24.9,15.5,21.8,25.8,0,2,226
"Josh McCown","TB",451.3,273.3,3356.6,22.6,12.6,27.4,108.9,1.3,2,214.2
"E.J. Manuel","BUF",467.7,277.7,3096.1,17.3,13.9,82.4,320.9,1.9,3.5,201.7
"Jake Locker","TEN",402.7,242.8,2865,16.1,11.3,44.7,268.3,1.6,2.5,187.8
"Johnny Manziel","CLE",375.3,220.8,2637.6,13.2,12.4,76.9,362,3,4,179.7
"Geno Smith","NYJ",383.6,229.8,2551.7,14.2,11.7,44,221.6,2.6,3,167.2
"Teddy Bridgewater","MIN",344.3,208.5,2516.9,15.8,9.4,39.2,153,1.4,2,164.8
"Matt Schaub","OAK",464.3,275,3091.8,17.3,14.2,35.8,32.1,0,2.5,162.7
"Chad Henne","JAC",414,241.7,3003.5,13.5,12.1,19.1,50.5,0,2,151
"Ryan Fitzpatrick","HOU",390.2,238.1,2591.7,15.3,14.7,32.3,155.6,0.7,2.5,150.2
"Michael Vick","NYJ",192.3,113.3,1323.4,7.9,5.7,40.5,236.3,1.5,1.5,102.8
"Matt Cassel","MIN",181.2,109.9,1222.4,7.6,5.8,15.2,55.5,0.2,1,72.4
"Blake Bortles","JAC",145.5,85.6,1019.1,6.6,5.8,19,65.5,1.1,2,64.7
"Tom Savage","HOU",177,101.6,1236.8,7.1,6.8,9.8,19.9,0,1.5,63.5
"Brian Hoyer","CLE",151.5,89.9,1022.3,7.1,5.4,15.8,38.1,0,1.5,59.3
"Case Keenum","HOU",127,74,848.5,5,4.5,12,43.5,0,0,49.3
"Derek Carr","OAK",126.8,77.7,857.8,4.5,4.8,8,21.7,0,2,40.9
"Mike Glennon","TB",85.2,51.1,600.7,4,3.7,10,25.8,0,1,33.2
"Charlie Whitehurst","TEN",89.1,53,564.1,3.8,2.8,10.9,40.9,0,1.5,33.2
"Kirk Cousins","WAS",87.7,50.1,560,3.4,2.5,3.7,12.4,0,0.5,31.2
"Shaun Hill","STL",55,33.7,380.2,3.1,1.9,4,12.5,0,0.5,24.1
"Zach Mettenberger","TEN",71.7,41.8,479.3,3.5,4.3,5,5.2,0,0.8,23.5
"Jordan Palmer","CHI",79.1,45.6,518.6,1.3,2.1,3,7.1,0,0.5,21.2
"Terrelle Pryor","SEA",12,7,87,1,0,11,55,1,0,19
"Bruce Gradkowski","PIT",48.5,28,297,2,2,3.5,13.5,0,0,17.2
"Matt Flynn","GB",29.8,18.3,217.1,1.3,1,3.1,18.8,0,0,13.6
"Brandon Weeden","DAL",42.1,25,293.8,1.2,1.3,1,2,0,0.5,13.2
"Mark Sanchez","PHI",27.6,16.8,183.8,1.3,0.6,3.5,4.6,0,0,11.8
"Josh Freeman","FA",24.2,14,161.5,1,0.3,3.3,11,0,0,10.9
