"Player.Name.","X.Team.","rush_att.","rush_yds.","rush_tds.","rec_att.","rec_yds.","rec_tds.","fumbles.","fpts."
"Calvin Johnson","DET",0,0,0,93.8,1578.6,12.1,1,228.5
"Demaryius Thomas","DEN",0,0,0,94.8,1441.6,12.7,0.5,219.4
"Julio Jones","ATL",4,35.5,0,92.6,1392.7,10.1,0.5,202.4
"Dez Bryant","DAL",0.5,4,0,93.9,1314,11.4,1,198.2
"A.J. Green","CIN",0,0,0,91.2,1315.2,10.5,0,194.5
"Brandon Marshall","CHI",0,0,0,101.4,1264.1,10.7,0,190.6
"Jordy Nelson","GB",0,0,0,80,1254.6,10.1,0.5,185.1
"Alshon Jeffery","CHI",12.5,81,0.5,82.3,1276.5,8,1,184.8
"Antonio Brown","PIT",6.5,40.5,0,103.5,1366.4,7.5,0.5,184.7
"Randall Cobb","GB",8.5,94.5,0,86.5,1176.1,7.8,1,171.9
"Vincent Jackson","TB",0.5,6,0,72.9,1190.7,7.8,0,166.5
"Andre Johnson","HOU",0,0,0,92.6,1275.1,5.9,0,162.9
"Larry Fitzgerald","ARI",1,5.5,0,85,1077.8,9,0,162.3
"Michael Crabtree","SF",0.5,6,0,80.9,1153.5,7.7,1,160.2
"Keenan Allen","SD",0,0,0,74.9,1077.4,8.3,1,155.5
"Pierre Garcon","WAS",1,9.5,0,88.1,1187.5,6.1,0.5,155.3
"Michael Floyd","ARI",0,0,0,76.8,1115.4,6.6,0,151.1
"Cordarrelle Patterson","MIN",13.5,115.5,1,69.1,928.8,6.7,0,150.6
"Victor Cruz","NYG",0,0,0,84.2,1099.8,7,1,150
"Roddy White","ATL",0,0,0,85.6,1089.7,7,0.5,150
"Wes Welker","DEN",0,0,0,83.4,998.3,8.6,1,149.4
"Percy Harvin","SEA",20.5,113,1,74.7,917.4,6.1,0.5,144.6
"Torrey Smith","BAL",2,16.5,0,65.8,1060,6,0.5,142.7
"DeSean Jackson","WAS",3.5,24,0,59.7,957.9,7.1,0,140.8
"Jeremy Maclin","PHI",0,0,0,71.7,994.9,6.4,0.5,136.9
"Mike Wallace","MIA",4.5,38.5,0,71.6,1004.3,5.5,0.5,136.3
"Julian Edelman","NE",2,17,0,91.2,998.7,5.9,1,135
"Ty Hilton","IND",4.5,29.5,0,68.4,974.6,5.8,0.5,134.2
"Marques Colston","NO",0,0,0,76.1,971.7,6.2,0.5,133.4
"Emmanuel Sanders","DEN",0.5,9.5,0,68.1,960.4,6.2,0.5,133.2
"Golden Tate","DET",3,25,0,69.1,954.5,6,1,132
"Kendall Wright","TEN",0.5,4,0,87.9,1043.1,4.6,1,130.3
"Eric Decker","NYJ",0,0,0,64.1,900.7,6.2,1,125.3
"Terrance Williams","DAL",2,9.5,0,59.2,885,6.2,1.5,123.7
"Sammy Watkins","BUF",3.5,21,0,59.9,862.6,5.9,1,121.8
"Reggie Wayne","IND",0,0,0,69.2,883.7,4.6,0,116
"Rueben Randle","NYG",0,0,0,57,785,5.7,0.5,111.7
"Dwayne Bowe","KC",0,0,0,65.9,816.5,4.9,0,111.1
"Riley Cooper","PHI",0,0,0,51.6,779.5,5.6,0.5,110.6
"Tavon Austin","STL",12.5,130,1,54.1,675.9,4.3,1.5,109.4
"Mike Evans","TB",0,0,0,50.9,754.1,5.8,0.5,109.2
"Marvin Jones","CIN",6,50,0,58.3,749.1,5.3,1.5,108.7
"Cecil Shorts","JAC",0,0,0,61.1,833.6,4.1,0,108
"Anquan Boldin","SF",1,7,0,60,802.8,4.5,0.5,107
"DeAndre Hopkins","HOU",0,0,0,59,793.6,4.5,0.5,105.4
"Kenny Stills","NO",1.5,12,0,45.4,733.4,5.3,0.5,105.3
"Brandin Cooks","NO",4.5,26,0,51.9,727.6,5.4,1.5,104.8
"Hakeem Nicks","IND",0,0,0,50.6,762.9,4.6,0,103.9
"Brian Hartline","MIA",0,0,0,68.4,916.8,2.3,1,103.5
"James Jones","OAK",0,0,0,58.1,746.9,4.6,0,102.3
"Jarrett Boykin","GB",0,0,0,54.1,731.3,5,0.5,102.1
"Danny Amendola","NE",0,0,0,64.4,749.3,4.8,1,101.7
"Doug Baldwin","SEA",1,7,0,53.6,733.9,4.3,0.5,98.9
"Kelvin Benjamin","CAR",0,0,0,47.7,712,4.7,0.5,98.4
"Harry Douglas","ATL",0,0,0,63.9,786.8,3.3,0.5,97.5
"Greg Jennings","MIN",0,0,0,59.2,716.6,4.3,0.5,96.5
"Justin Hunter","TEN",0,0,0,40.4,668.1,4.6,0,94.4
"Steve Smith","BAL",0,0,0,54.4,694.9,4.5,1.5,93.5
"Rod Streater","OAK",1,8.5,0,51.4,713.6,4.1,2,92.8
"Odell Beckham Jr.","NYG",3,18,0,43.8,668.9,3.8,0.5,90.5
