PlayerName,Team,pass_att,pass_cmp,pass_yds,pass_tds,pass_ints,rush_att,rush_yds,rush_tds,fumbles,fpts
Andrew Luck,IND,639.4,392.9,4718.5,35.3,16,55.4,257.3,2.3,5.5,326.7
Aaron Rodgers,GB,546.6,353.8,4370.3,34.5,8.9,49.1,244.7,2,4.9,321.3
Russell Wilson,SEA,463,285.2,3559.7,24.9,10.6,103.7,644.6,3.9,4.3,299.7
Peyton Manning,DEN,599.4,395.8,4665.4,35.2,13.2,26.6,9.7,0.5,3.5,297.8
Drew Brees,NO,620.4,414.7,4823.9,31.2,14.2,27.5,64.7,1.2,4.1,294.9
Matt Ryan,ATL,632.2,414.7,4744.7,28.8,14.9,27,98,0.8,3.5,282.5
Cam Newton,CAR,500.1,299.6,3577.5,21.7,14.5,104.8,563.7,4.5,5.8,273.1
Ben Roethlisberger,PIT,595.4,386.6,4553.5,28.5,13.4,28.2,68.6,0.4,5.3,268.2
Tony Romo,DAL,505.8,332,4065.8,31.9,11.3,27,67.8,0.6,4.9,268.1
Matthew Stafford,DET,627.1,381.5,4464.6,27,14.8,36.3,108.6,1.5,5.3,266.3
Ryan Tannehill,MIA,584.6,372,4191,25.8,14.8,48.5,241.6,1.5,5.7,262.7
Philip Rivers,SD,569.5,367.9,4374.3,28.6,16.1,33.9,72.5,0.5,4.5,258
Eli Manning,NYG,593.9,368.1,4390,27.9,16.5,23,66,0.7,5.6,254
Colin Kaepernick,SF,484.7,293.1,3526.4,18.1,11.6,96.6,581.3,2.5,5.8,251.3
Joe Flacco,BAL,554.8,342.7,3937.8,25.6,14.4,42.1,118.5,1.5,3.8,244.4
Jay Cutler,CHI,570,355.5,3985.7,25.2,17.2,41.3,194.3,1.4,5.4,242.5
Teddy Bridgewater,MIN,520.6,321.4,3738.9,22.2,15,62.3,274.5,1.8,3.6,239.4
Carson Palmer,ARI,552.1,338.9,4014.3,24.2,14,23.7,59.8,0.6,3.1,232.8
Sam Bradford,PHI,513.3,314,3726.6,24.4,12.7,40.2,130,1.3,4.9,232
Alex Smith,KC,500.2,312,3430.6,21.4,11,55.1,274.6,1.5,3.8,230
Andy Dalton,CIN,527,324.3,3647.8,22.3,18.2,54.9,184.6,1.9,3.7,221.4
Marcus Mariota,TEN,493.3,295.9,3449.6,18.5,15.2,67,358.1,2,4.7,220.2
Tom Brady,NE,465.4,297.1,3382.4,23.8,8.9,24.4,40.8,0.7,2.5,215.9
Jameis Winston,TB,518.8,306.7,3796,20.9,17.7,44.4,177.5,1.2,4.9,215.3
Blake Bortles,JAC,533.9,317.1,3506.8,17.4,17.6,58.9,358.2,1.2,4.9,207.5
Derek Carr,OAK,578.7,342.7,3781.5,20.4,15.3,29.7,95.2,0.7,5.5,205.3
Nick Foles,STL,501.2,305.3,3474.5,19.9,14.1,38.4,165.4,1,4.1,204.6
Robert Griffin III,WAS,444.8,275.7,3257.8,16.1,13.8,69.6,369.9,2.4,6.9,204.4
Josh McCown,CLE,439.3,254.5,3010.5,14,13.8,37,170.5,1.6,6.3,163
Brian Hoyer,HOU,388.2,228,2684.4,14,12,23.4,47.2,0.5,3.1,140.8
Ryan Fitzpatrick,NYJ,319,193.7,2240.3,13.4,10,36.8,154.9,1,2.2,140
Matt Cassel,BUF,272.1,158.1,1802.5,10.3,8.7,21.6,58.2,0.3,3,97.3
Tyrod Taylor,BUF,205.7,121.2,1355.7,8,7.1,31.6,151.5,1,1.6,90
Geno Smith,NYJ,193,113,1333.8,7.9,6.8,24.4,116.7,1,2,84.6
Ryan Mallett,HOU,145.2,87.2,1048.8,5.3,4,14.8,35.5,0.3,0.6,59.3
Jimmy Garoppolo,NE,144.5,85.6,936.6,5.7,4.1,9.7,27.4,0.1,0.8,53.9
Johnny Manziel,CLE,83.8,47.7,547.1,2.8,2.9,10.9,41,0.4,0.8,32.1
Kirk Cousins,WAS,85.6,52.3,614.5,3.2,3.2,3.2,10.4,0.1,0.8,30.7
Mark Sanchez,PHI,64.4,39.9,480.1,3.2,2.5,7.4,19.9,0,0.4,28.5
E.J. Manuel,BUF,51.4,30.2,337.2,1.6,2,5.8,21.9,0,0.4,17.5
Kellen Moore,DET,33.3,20.3,228.3,1.4,1,2.4,7.3,0.1,0.2,13.9
B.J. Daniels,SEA,28.7,16.9,203.7,1.2,1,2.7,10.6,0,0.1,12.1
Drew Stanton,ARI,27.6,16.5,190.9,1,0.8,2,6.3,0,0.2,10.4
Derek Anderson,CAR,23.7,14.2,171.3,1.1,0.7,2.7,7.4,0,0.3,10.4
Brandon Weeden,DAL,19.7,11.8,143,1.1,0.3,1.1,3,0,0.1,9.6
Jimmy Clausen,CHI,24.9,14.2,163.3,0.9,0.6,1.9,6.5,0,0.4,8.9
Zach Mettenberger,TEN,23.1,13.5,154.3,0.9,0.7,1.4,5.8,0,0.1,8.8
Austin Davis,STL,21.8,13.2,147.2,0.8,0.6,1.3,3.8,0,0.2,8.1
Chase Daniel,KC,18.1,10.8,117.9,0.7,0.3,1.9,8.7,0,0.1,7.8
Colt McCoy,WAS,22.2,13.9,163.4,0.6,0.7,2.3,7,0,0.4,7.6
Mike Glennon,TB,18.9,11.1,129.1,0.8,0.7,3.6,7.8,0,0.1,7.5
Blaine Gabbert,SF,20.1,11.9,136.1,0.5,0.4,2.4,8.5,0,0.2,7.5
Bruce Gradkowski,PIT,17.7,10.3,120.4,0.8,0.5,0.9,2.1,0,0.1,7
Shaun Hill,MIN,17.7,10.6,123,0.6,0.5,0.8,1.5,0.1,0.1,6.3
Chad Henne,JAC,20.8,11.9,127.1,0.5,0.5,1.5,6.2,0,0.1,6.3
Scott Tolzien,GB,11.4,7.2,80.5,0.3,0.3,1,5.4,0.1,0.1,4.6
Christian Ponder,OAK,12.3,6.9,70.5,0.3,0.4,1.8,7.4,0.1,0.2,4.3
Ryan Nassib,NYG,9.5,5.9,66.5,0.4,0.3,0.7,0.8,0,0,3.5
Luke McCown,NO,9.6,5.7,63.8,0.3,0.2,0.6,1.4,0,0.1,3.2
Matt Hasselbeck,IND,9.1,5.9,67.7,0.2,0.1,0.8,0.3,0,0.1,3.2
Kellen Clemens,SD,9.9,5.7,62,0.3,0.3,0.7,1.1,0,0.2,2.8
Brock Osweiler,DEN,6.8,4,45.1,0.2,0.1,1.6,3.4,0,0.1,2.6
Matt Schaub,BAL,9.5,5.7,60.1,0.2,0.3,1.1,1.1,0,0.2,2.3
Matt Moore,MIA,4.9,3.1,36.6,0.2,0.1,0.5,0,0,0.1,1.9
Josh Johnson,CIN,6,3.5,40.5,0,0,0.5,1,0,0,1.7
Taylor Yates,ATL,5.1,3.2,33.6,0.1,0.2,0.5,0.5,0,0.1,1.2
Matt McGloin,OAK,3,2,23,0,0,0,0,0,0,0.9
