PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Jamaal Charles,KC,234,1152.3,9.6,53,437.4,4.2,3.9,234.2
Eddie Lacy,GB,285.1,1278.1,9.3,43.1,335.3,2.6,2.8,226.9
Marshawn Lynch,SEA,274.3,1278.9,10.2,34,289.8,2.2,2.7,225.9
Adrian Peterson,MIN,279.1,1301.5,9.8,41.5,321.9,1.5,3.3,223.6
Le'Veon Bell,PIT,245.7,1089.2,7.2,66,560.9,2.4,1.3,220.3
Arian Foster,HOU,267.1,1233.5,7.2,48.3,390.1,2.9,2.3,218.3
Matt Forte,CHI,250.4,1054.4,6.4,72.3,612.1,2.6,2.5,215.7
C.J. Anderson,DEN,250.9,1137.3,8.9,45.9,390,1.3,1.3,211.8
LeSean McCoy,BUF,313.8,1386.7,7.5,31.1,218.9,1,3.2,205.1
DeMarco Murray,PHI,260.2,1194.1,9.8,35,258.5,1,4.7,200.6
Jeremy Hill,CIN,262.1,1223.8,9.4,26.2,200.4,0.9,3.9,196.1
Justin Forsett,BAL,210.7,1044.3,5.2,52.3,372.9,1.5,1.6,178.4
Mark Ingram,NO,226.3,976.6,9.7,28.4,192.9,0.8,2.2,175.4
Carlos Hyde,SF,238.9,1012.5,8.9,21.7,159.9,0.4,2.2,168.3
Alfred Morris,WAS,254.5,1108.1,7.3,17.3,136.3,0.6,2.2,167.3
Melvin Gordon,SD,240.9,1071.3,5.6,30.5,240.7,1,2.3,166.4
Lamar Miller,MIA,214.7,1005.5,6,35.1,262.2,1.1,2.4,164
Frank Gore,IND,235.9,961.8,6.7,29.3,243.8,1.1,2.8,161.7
Joique Bell,DET,208.2,844.1,7.3,36.1,308.9,1,2.7,159.6
Andre Ellington,ARI,197.3,810,4.5,48.9,434,1.9,2.5,158
Latavius Murray,OAK,204,947.9,6.2,28.2,231.3,0.9,1.5,157.6
Joseph Randle,DAL,217.6,1019.6,6.4,23.1,180.4,0.8,3.4,156.2
T.J. Yeldon,JAC,207.8,909.4,5.8,32.4,249.6,0.9,2.1,152.5
Tevin Coleman,ATL,189.8,807.2,6.8,31.8,253.1,1,1.8,149.4
Jonathan Stewart,CAR,212.7,976.3,4.7,27,193,1,2,146.9
LeGarrette Blount,NE,198.2,882.6,8.6,9.8,69,0.3,1.6,145.7
Todd Gurley,STL,187.3,865,6.3,23.6,186.5,0.7,2.1,142.9
Rashad Jennings,NYG,182.1,752.4,5.9,28.9,227.1,1,1.5,136.1
Isaiah Crowell,CLE,202.9,869.5,5.7,16.1,130.8,0.6,3.3,131
