PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Julio Jones,ATL,0.5,2.2,0,100.6,1512.0,9.2,0.8,205.3
Antonio Brown,PIT,3.1,17.1,0,111.2,1441.4,10.1,1,204.6
Odell Beckham Jr.,NYG,0.8,4.3,0,96.4,1330.6,10,1,191.6
Mike Evans,TB,0,0,0,90,1301.2,9.3,0.6,185
Jordy Nelson,GB,0,0,0,90.7,1222.2,10.4,1.1,182.3
A.J. Green,CIN,0,0,0,89.5,1260.6,7.9,0.5,172.6
Michael Thomas,NO,2,9.5,0,93,1176.1,8.1,0.6,166
T.Y. Hilton,IND,0,0,0,82.1,1246.9,6.8,0.3,165.1
Doug Baldwin,SEA,2.3,12.4,0.1,85.2,1080.6,8.3,0.5,159
Dez Bryant,DAL,0,0,0,73.2,1070.3,8.9,1.2,157.9
Amari Cooper,OAK,1.8,9,0,83.1,1155.9,7,0.6,157.5
Allen Robinson,JAC,0,0,0,76,1046.6,7.3,0.6,147.3
DeAndre Hopkins,HOU,0,0,0,82.7,1103.4,6.1,0.6,146.1
Michael Crabtree,OAK,0.8,3.8,0,82.5,971.4,7.4,0.5,140.8
Jarvis Landry,MIA,3,15.4,0,88,1055.8,5.7,1.5,138.5
Demaryius Thomas,DEN,0,0.3,0,81.7,1046.4,6.2,1.8,138.4
Brandin Cooks,NE,3.8,20.8,0.1,73.6,977.5,6.5,0.6,138.1
Kelvin Benjamin,CAR,0,-0.1,0,68.2,962.1,6.9,1.1,135.4
Alshon Jeffery,PHI,0.3,2,0,73.8,998.4,5.9,0.5,134.6
Terrelle Pryor,WAS,1.9,11.3,0,69,987.6,5.5,0.4,132.6
Sammy Watkins,LAR,0.4,0.9,0,65.6,972.3,5.8,0.5,130.9
Golden Tate,DET,6.1,29.5,0.1,86.9,981.2,5.2,1.2,130.1
Keenan Allen,LAC,0.1,0.9,0,84,973.2,6,2,129.8
Tyreek Hill,KC,25,161.3,1.1,69.3,773.5,5.3,1.1,129.7
Emmanuel Sanders,DEN,1.3,6.7,0,72.7,966.4,5.3,0.8,127.7
Larry Fitzgerald,ARI,0.1,0.3,0,86.9,940.6,5.9,1.2,127.4
Davante Adams,GB,0.3,1.6,0,69.3,871.8,6.7,0.8,125.8
Stefon Diggs,MIN,2.1,12.2,0,82.2,960.7,4.8,0.5,125.3
Willie Snead,NO,0.3,1,0,71.8,939.0,5.4,0.7,125
Randall Cobb,GB,6.5,37.8,0.1,74.7,843.2,6,0.6,123.3
Martavis Bryant,PIT,2.3,13.2,0.1,59.6,864.4,6.1,0.8,123.3
Julian Edelman,NE,4.6,29.3,0.1,82.7,911.0,5,1.8,121.2
Pierre Garcon,SF,0.3,1,0,71.5,917.3,4.9,0.5,120
Jamison Crowder,WAS,1.9,8.8,0,72.8,887.5,5.1,1.1,118.5
Kenny Britt,CLE,2.1,12.5,0.1,62.7,859.7,5,1,115.5
Brandon Marshall,NYG,0,0,0,63,813.7,5.8,0.7,114.7
Donte Moncrief,IND,1.3,6,0,63.3,760.1,6.4,0.5,114.2
DeSean Jackson,TB,0.5,3.3,0,55,858.7,4.7,0.5,113.6
Mike Wallace,BAL,1.9,12.6,0,66.6,841.9,4.6,0.4,112.3
Eric Decker,TEN,0,0,0,58.7,777.5,5.9,0.7,111.7
Devante Parker,MIA,3.3,15.3,0,60.8,808.1,4.8,0.5,110.6
Jeremy Maclin,BAL,1,6.1,0,71,839.2,4.3,0.3,109.9
Tyrell Williams,LAC,0,0,0,53.2,792.9,5.1,0.5,109.1
Adam Thielen,MIN,2.3,11.6,0,64.3,814.4,4.4,0.9,107.6
Jordan Matthews,BUF,0.8,3.8,0,64.1,782.0,4.9,0.5,107.3
Marvin Jones,DET,0.6,1.1,0,56.4,785.4,4.8,0.2,107
John Brown,ARI,1.7,9,0,54.9,771.1,4.6,0.5,104.9
Rishard Matthews,TEN,0.1,0.7,0,54.8,762.4,5,1,104.3
Corey Coleman,CLE,1.1,5.7,0,61.2,781.2,4.4,0.5,104
Cameron Meredith,CHI,0.9,7.4,0.1,61.3,780.4,4.3,1.7,101.3
Ted Ginn,NO,3.9,23.5,0.1,50.3,708.4,4.9,1.9,99.2
Corey Davis,TEN,0,0,0,54.1,718.7,4.4,0.6,97.4
Robby Anderson,NYJ,1.7,13.5,0,54.9,741.6,3.8,1,96.7
Allen Hurns,JAC,0.5,2.3,0,51.4,688.4,4.5,0.6,95.3
Tyler Lockett,SEA,4.2,34.9,0.2,48.8,672.6,4,0.6,94.5
Sterling Shepard,NYG,1.5,8.3,0,53.7,640.4,4.5,0.5,90.8
Cole Beasley,DAL,0.4,1.1,0,61.6,681.8,3.9,0.6,90.2
Kenny Stills,MIA,0,0,0,40.2,626.6,4.6,0.4,89.7
Mohamed Sanu,ATL,2.4,12.7,0.1,53.2,621.8,4.5,0.9,89
Breshad Perriman,BAL,0.7,3.7,0,47.3,650.5,3.7,0.3,86.8
Devin Funchess,CAR,0.5,2.3,0,39.3,583.9,4.3,0.5,83.7
Kevin White,CHI,1,3.3,0,47.5,606.0,3.6,0.6,81.5
J.J. Nelson,ARI,2.1,14.2,0.1,33.5,550.3,4.4,1.6,80.2
Tavon Austin,LAR,25.3,163.1,0.8,44.3,448.9,2.7,1.2,79.7
Anquan Boldin,BUF,0,0,0,47.3,545.0,4.2,0.5,78.7
Josh Doctson,WAS,0,0,0,41.6,576.8,3.5,0.6,77.6
Taylor Gabriel,ATL,2.2,17,0.1,37.3,525.4,3.8,0.4,76.5
Torrey Smith,PHI,0.1,1,0,38.4,546.9,3.5,0.3,75
Terrance Williams,DAL,0.3,1,0,39,559.9,3.3,0.8,74.1
Zay Jones,BUF,0,0,0,43,554.7,3.2,0.5,73.7
ArDarius Stewart,NYJ,0.3,1,0,43.3,558.5,3.1,0.6,73.2
Marqise Lee,JAC,4.1,23.4,0.1,44,545.2,2.9,0.7,73
Robert Woods,LAR,0,0.3,0,44.1,540.2,2.7,0.5,69.5
Kenny Golladay,DET,0,0,0,38.5,487.0,3.3,0.4,67.9
Chris Conley,KC,0,0,0,43.3,523.1,2.7,0.4,67.6
Seth Roberts,OAK,0,0.1,0,36.1,457.3,3.7,0.4,67.2
Brandon LaFell,CIN,0.8,2.3,0,39.9,514.6,2.6,0.4,66.6
John Ross,CIN,1.6,8.4,0,38,480.6,2.8,0.5,65
Curtis Samuel,CAR,12.7,65.2,0.3,32.4,410.7,2.7,0.6,64.7
Marquise Goodwin,SF,1,4.9,0,34.1,485.0,2.7,0.4,64.7
Chris Hogan,NE,1.8,11.5,0.1,32.7,486.5,2.7,0.8,64.6
Tyler Boyd,CIN,1.1,8,0,40.1,481.5,2.4,0.9,61.5
Jermaine Kearse,SEA,0,0,0,34.9,457.1,2.6,0.3,60.7
Eli Rogers,PIT,0.4,2.5,0,33,428.0,2.8,0.4,58.9
Travis Benjamin,LAC,1,4.6,0,31.9,446.6,2.5,1.9,56.6
Nelson Agholor,PHI,2.5,13,0.1,35.8,412.2,2.3,0.3,56
Kendall Wright,CHI,0.8,4.4,0,32.5,405.7,2,0.4,52.5
Laquon Treadwell,MIN,0.5,1.8,0,32.7,391.2,2.2,0.4,51.8
Phillip Dorsett,IND,1.2,7.5,0,27.5,383.6,2.1,0.4,51
Markus Wheaton,CHI,0.6,2.7,0,29.2,378.0,2,0.8,48.8
Jeremy Kerley,SF,0.5,2.9,0,35.3,390.0,1.8,0.6,48.6
Albert Wilson,KC,1.5,12,0.1,33.4,360.2,1.9,0.4,48.3
Adam Humphries,TB,2,12,0,31.5,356.5,1.9,0.3,47.8
Will Fuller,HOU,0.5,3.3,0,27.5,356.3,1.9,0.2,47.2
Jaelen Strong,HOU,0,0.2,0,30.1,365.7,1.8,0.4,46.9
Chris Godwin,TB,0,0,0,27.9,362.0,2,0.6,46.7
Mike Williams,LAC,0,0,0,26.4,343.9,2.2,0.6,46.6
Brandon Coleman,NO,0,0,0,25.4,326.0,2.1,0.3,44.5
Charles Johnson,CAR,0,0,0,21,298.5,2.6,0.4,44.4
Braxton Miller,HOU,2.7,16,0.1,28.3,312.2,1.8,0.3,43.5
Malcolm Mitchell,NE,0,0.1,0,24.5,306.7,2,0.3,42
Cooper Kupp,LAR,0,0,0,28.4,339.5,1.5,0.6,41.6
Marquess Wilson,NYJ,0,0,0,23.3,329.9,1.3,0.3,39.9
Brice Butler,DAL,0,0,0,19.2,273.5,2.1,0.3,39.5
Carlos Henderson,DEN,0,0,0,24.1,314.4,1.6,0.8,39.4
Kamar Aiken,IND,1.7,7.7,0,20.3,266.9,1.9,0.3,38.2
Charone Peake,NYJ,0,0,0,25.3,297.1,1.3,0.2,37.4
Paul Richardson,SEA,0.4,1.7,0,20.1,272.9,1.5,0.1,36.1
JuJu Smith-Schuster,PIT,0,0,0,22.1,283.8,1.4,0.3,36.1
Geronimo Allison,GB,0,-0.1,0,18.4,258.2,1.7,0.3,35.7
Chad Williams,ARI,0,0,0,21.7,277.2,1.6,0.7,35.6
Dontrelle Inman,LAC,0,0,0,19.9,274.8,1.4,0.4,35.2
Jaron Brown,ARI,0,0,0,20,266.1,1.3,0.4,33.9
Victor Cruz,CHI,0.5,2,0,21.2,303.0,1,1.5,33.8
Andre Ellington,ARI,20.4,87.4,0.5,25.8,181.1,0.4,0,32.6
