Name,Att.rush,Yds.rush,TD.rush,Rec.catch,Yds.catch,TD.catch,Cmp.pass,Att.pass,Yds.pass,TD.pass,Int.pass,FGA,FGM,XPM,Fmb,Tm,Pos
Aaron Jones,73,494,4,11,78,0,0,0,0,0,0,0,0,0,1,GNB,rb
Aaron Rodgers,28,145,0,0,0,0,217,355,2741,17,1,0,0,0,6,GNB,qb
Adam Humphries,2,11,0,37,431,2,0,0,0,0,0,0,0,0,0,TAM,wr
Adam Thielen,2,20,0,78,947,7,0,0,0,0,0,0,0,0,1,MIN,wr
Adam Vinatieri,0,0,0,0,0,0,0,0,0,0,0,17,14,24,0,IND,k
Adrian Peterson,155,672,4,14,168,1,0,0,0,0,0,0,0,0,2,WAS,rb
A.J. Derby,0,0,0,3,48,1,0,0,0,0,0,0,0,0,0,MIA,NA
A.J. Green,0,0,0,45,687,6,0,0,0,0,0,0,0,0,2,CIN,wr
A.J. McCarron,1,0,0,0,0,0,1,3,8,0,0,0,0,0,1,OAK,NA
Alan Cross,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,TAM,te
Albert Wilson,8,16,0,26,391,4,1,1,52,1,0,0,0,0,0,MIA,wr
Aldrick Robinson,0,0,0,7,115,3,0,0,0,0,0,0,0,0,0,MIN,NA
Aldrick Rosas,0,0,0,0,0,0,0,0,0,0,0,20,19,12,0,NYG,k
Alex Armah,7,14,2,0,0,0,0,0,0,0,0,0,0,0,0,CAR,fb
Alex Collins,107,393,6,15,105,1,0,0,0,0,0,0,0,0,3,BAL,rb
Alex Erickson,1,8,0,8,44,0,0,0,0,0,0,0,0,0,0,CIN,wr
Alex Smith,37,135,1,0,0,0,193,301,2045,10,3,0,0,0,6,WAS,qb
Alfred Blue,94,297,1,11,94,0,0,0,0,0,0,0,0,0,0,HOU,rb
Alfred Morris,93,313,1,6,66,0,0,0,0,0,0,0,0,0,2,SFO,rb
Allen Hurns,0,0,0,16,221,2,0,0,0,0,0,0,0,0,1,DAL,wr
Allen Robinson,0,0,0,31,418,4,0,0,0,0,0,0,0,0,0,CHI,wr
Alshon Jeffery,0,0,0,33,389,4,0,0,0,0,0,0,0,0,1,PHI,wr
Alvin Kamara,123,546,11,55,473,3,0,0,0,0,0,0,0,0,0,NOR,rb
Amari Cooper,1,9,0,33,413,2,0,0,0,0,0,0,0,0,0,2TM,WR
Ameer Abdullah,1,1,0,2,18,0,0,0,0,0,0,0,0,0,1,DET,NA
Andre Holmes,0,0,0,12,157,0,0,0,0,0,0,0,0,0,0,BUF,wr
Andre Roberts,1,2,0,3,25,0,0,0,0,0,0,0,0,0,2,NYJ,wr
Andrew Luck,21,61,0,0,0,0,246,371,2472,26,9,0,0,0,3,IND,qb
Andy Dalton,12,49,0,0,0,0,197,312,2255,18,10,0,0,0,1,CIN,qb
Andy Janovich,1,2,0,3,52,0,0,0,0,0,0,0,0,0,0,DEN,fb
Anthony Firkser,0,0,0,3,36,0,0,0,0,0,0,0,0,0,0,TEN,NA
Anthony Miller,2,16,0,24,332,4,0,0,0,0,0,0,0,0,0,CHI,wr
Anthony Sherman,0,0,0,6,77,1,0,0,0,0,0,0,0,0,0,KAN,fb
Antonio Brown,0,0,0,57,690,10,0,0,0,0,0,0,0,0,0,PIT,wr
Antonio Callaway,2,7,0,26,326,2,0,0,0,0,0,0,0,0,0,CLE,wr
