PlayerName,Team,fg,fga,xpt,fpts
Harrison Butker,KC,27.8,32.6,47.2,130.5
Wil Lutz,NO,27.6,32.4,46.8,129.7
Justin Tucker,BAL,26.5,30.4,47,126.6
Robbie Gould,SF,26.7,31.7,41.2,121.2
Greg Zuerlein,DAL,25.9,32,42.7,120.3
Jake Elliott,PHI,25.8,30.2,37.7,115.3
Jason Myers,SEA,25.1,29.7,39.4,114.6
Matt Prater,DET,26,31.3,36.5,114.4
Dan Bailey,MIN,25.2,30,37.2,113
Brandon McManus,DEN,25.9,31.6,35.2,112.9
Younghoe Koo,ATL,25.5,30.4,36.3,112.9
Austin Seibert,CLE,26.1,30.8,34.5,112.8
Chase McLaughlin,IND,24.6,29.4,38.2,112
Chris Boswell,PIT,25.7,30.8,34.8,111.8
Mason Crosby,GB,23.5,27.5,39.9,110.3
Matt Gay,TB,24.8,30.9,35.9,110.2
Zane Gonzalez,ARI,24.9,31,35,109.7
Sam Sloman,LAR,25.1,31.9,33.9,109.1
Stephen Hauschka,BUF,24.6,30.4,34.1,107.9
Justin Rohrwasser,NE,24.7,30.2,33.6,107.8
Greg Joseph,TEN,23.5,27.5,37,107.5
Michael Badgley,LAC,24.4,28.3,34.2,107.5
Josh Lambo,JAC,25.3,28.6,31.5,107.5
Ka'imi Fairbairn,HOU,24.1,29.5,35.1,107.3
Jason Sanders,MIA,24.3,29.2,33.7,106.7
Randy Bullock,CIN,25.3,28.5,30.4,106.2
Joey Slye,CAR,24.6,29.6,30.9,104.7
Daniel Carlson,LV,22.8,28.8,35.1,103.5
Eddy Pineiro,CHI,23.5,28.3,30.1,100.6
Graham Gano,NYG,22.6,27.2,32.3,100.1
Sam Ficken,NYJ,23.1,29.5,29.4,98.6
Dustin Hopkins,WAS,23.3,27.8,28.4,98.4
Brett Maher,NYJ,21,26,31,94
Lirim Hajrullahu,LAR,10,13,12,42
Austin MacGinnis,LAR,10,13,12,42
Tyler Bass,BUF,0,0,0,0
Cairo Santos,CHI,0,0,0,0
