PlayerName,Team,rec_att,rec_yds,rec_tds,fumbles,fpts
Travis Kelce,KC,112.4,1399.3,10.2,0.8,199.8
George Kittle,SF,96.6,1204.6,6.6,0.7,158.7
Darren Waller,LV,100.3,1144.8,7.1,0.9,155.6
Mark Andrews,BAL,70.6,859.4,8.2,0.9,133.2
Kyle Pitts,ATL,69,832.7,6.4,1.2,119.1
T.J. Hockenson,DET,75.4,835.8,5.2,0.8,113.3
Dallas Goedert,PHI,63.8,704.4,5.1,0.7,99.9
Robert Tonyan,GB,55.6,609.3,6.5,0.1,99.5
Tyler Higbee,LAR,60.9,680.6,5.4,0.6,99.1
Noah Fant,DEN,63.1,702.4,4.5,0.7,96
Logan Thomas,WAS,63.2,649.6,5,0.6,93.5
Mike Gesicki,MIA,55.2,617.8,5.3,0.7,92
Irv Smith Jr.,MIN,52.6,582.1,5.6,0.7,90.2
Rob Gronkowski,TB,42.1,549.3,5.6,0.2,88.1
Jared Cook,LAC,46,575.9,5.1,0.6,87.1
Eric Ebron,PIT,57.9,571.4,4.5,0.7,82.7
Hunter Henry,NE,53.7,583.5,4.2,0.6,82.3
Blake Jarwin,DAL,50.9,574.7,4.2,0.7,81.2
Jonnu Smith,NE,53.5,562.2,4.4,0.7,81.1
Adam Trautman,NO,51.3,561.2,4.2,0.7,79.9
Evan Engram,NYG,57.5,582.5,3.6,0.7,78.7
Anthony Firkser,TEN,49.3,529.7,3.9,0.1,76.1
Austin Hooper,CLE,48.7,487.3,4.4,0.6,73.8
Cole Kmet,CHI,48.3,482.5,3.7,1.2,68.2
Zach Ertz,PHI,48.1,491.4,3.4,0.6,68.2
Gerald Everett,SEA,42,432.7,3.9,0.6,65.6
Jordan Akins,HOU,44.1,467.6,2.8,0.1,63.4
Dawson Knox,BUF,33.4,384.2,3.5,0.6,58.3
Hayden Hurst,ATL,38.5,405.1,2.9,0.1,58.1
C.J. Uzomah,CIN,36.7,357,3.2,0.1,55
Chris Herndon IV,NYJ,37.9,381.8,3,1.6,53.1
Jack Doyle,IND,32.6,336.6,3,0.1,51.5
Will Dissly,SEA,30.2,317.5,3,0.1,49.6
Donald Parham Jr.,LAC,28,339.2,2.5,0.1,48.7
Mo Alie-Cox,IND,31.5,340.6,2.4,0.6,47.6
O.J. Howard,TB,26.7,338.9,2.5,0.7,47.3
Dan Arnold,CAR,27.2,342.1,2.3,0.7,46.5
David Njoku,CLE,23.4,252.9,2.6,0,40.6
Stephen Carlson,CLE,20,218,3,0,39.8
Jimmy Graham,CHI,23.2,242.7,2.6,0.1,39.8
Jacob Hollister,BUF,29.1,264,2.3,0.6,39.2
Tyler Conklin,MIN,25.4,267.2,2,0.1,38.7
Dalton Schultz,DAL,23.4,243.7,2,0.1,36.3
Maxx Williams,ARI,21.4,237,2,0.1,35.3
Nick Boyle,BAL,23.2,216.8,2.1,0,34.1
Geoff Swaim,TEN,23.2,216.6,1.8,0.1,32.2
Kyle Rudolph,NYG,23.1,212.2,1.8,0.1,31.7
Cameron Brate,TB,22,206.1,1.8,0,31.1
Drew Sample,CIN,24.5,231.3,1.4,0.6,30.5
James O'Shaughnessy,JAC,23.2,228.5,1,0.1,28.8
Darren Fells,DET,18.2,188.5,1.6,0,28.3
Harrison Bryant,CLE,18.2,196.2,1.8,1.1,28
Foster Moreau,LV,13.9,152.1,2.1,0.1,27.9
Ryan Izzo,HOU,12.9,213,1,1,25.3
Tyler Kroft,NYJ,14.7,149.2,1.7,0.1,25.1
Pat Freiermuth,PIT,19.8,178.1,1.3,0.5,24.7
Adam Shaheen,MIA,15.4,157,1.8,1,24.4
Hunter Long,MIA,18.6,175.7,1.3,0.5,24.1
Albert Okwuegbunam,DEN,15.3,160.9,1.3,0.1,23.7
Pharaoh Brown,HOU,15.1,163.5,1.2,0.1,23.5
Ian Thomas,CAR,17.7,157.2,1.3,0,23.2
Chris Manhertz,JAC,15.9,158.4,1,0,21.7
Marcedes Lewis,GB,11.5,121.4,1.4,0,20.6
Noah Gray,KC,14.4,146.7,1.1,0.5,20.4
Matt Sokol,LAC,13,140,1,0,20
Reggie Gilliam,BUF,11,77,2,0,19.7
Brevin Jordan,HOU,12.8,131.3,1.2,0.5,19.4
Kyle Markway,LAR,13,130,1,0,19
Kahale Warring,HOU,13,133.9,0.8,0,18.3
Jacob Harris,LAR,10.7,136.9,0.8,0,18.3
Juwan Johnson,NO,11.1,127.2,0.9,0.1,18.1
Thaddeus Moss,CIN,13,121,1,0,18.1
Ryan Griffin,NYJ,11.2,106.5,1.2,0,17.6
Kylen Granson,IND,13.1,136.5,0.7,0.1,17.4
Darrell Daniels,ARI,11.4,121.9,0.9,0.1,17.3
Ross Dwelley,SF,11.4,120.1,0.9,0,17.2
Hunter Bryant,DET,10.4,122.8,0.8,0,17.2
Devin Asiasi,NE,10.4,117,1.1,0.5,17.1
Brycen Hopkins,LAR,12.5,127.8,0.7,0.1,16.9
Durham Smythe,MIA,13.1,108,1,0,16.4
Austin Fort,DEN,10,102,1,0,16.2
Derek Carrier,LV,10,92,1.2,0,16.1
Luke Farrell,JAC,13.8,130,0.7,0.5,16
Caleb Wilson,WAS,10,97,1,0,15.7
John Bates,WAS,12.4,119.1,0.8,0.5,15.4
Jace Sternberger,GB,9.6,88.5,1,0,15
Nick Vannett,NO,9,98.5,0.7,0,14.2
Blake Bell,KC,10,94.9,0.7,0,13.9
Jordan Thomas,IND,8.3,74,0.7,0,11.9
Tre' McKitty,LAC,7.7,81.6,0.4,0,10.6
Tommy Sweeney,BUF,6,75.5,0.5,0,10.6
Evan Baylis,KC,6.9,72,0.6,0,10.6
J.P. Holtz,CHI,5.9,73.3,0.5,0,10.3
Jeremy Sprinkle,DAL,6.9,71.4,0.5,0,10.1
Tommy Tremble,CAR,8.6,85.4,0.4,0.5,9.9
Daniel Brown,NYJ,5.4,63.7,0.5,0,9.4
Richard Rodgers,PHI,5,65.7,0.5,0,9.4
Noah Togiai,IND,6.4,60.9,0.5,0,9.2
Charlie Woerner,SF,5.4,63.9,0.4,0,9
Stephen Anderson,LAC,5.3,65.6,0.4,0,9
Johnny Mundt,LAR,5.3,57,0.5,0,8.5
Antony Auclair,HOU,4.9,54.6,0.5,0,8.5
Zach Gentry,PIT,6.1,54.9,0.5,0,8.3
Jesse James,CHI,6.1,51.4,0.5,0,8
Colby Parkinson,SEA,4.2,44,0.5,0,7.1
