PlayerName,Team,rec_att,rec_yds,rec_tds,rush_att,rush_yds,rush_tds,fumbles,fpts
Justin Jefferson,MIN,109.7,1529.3,8,3.7,18.1,0.3,0.4,203.5
Ja'Marr Chase,CIN,107,1377.2,10.1,5.2,24.6,0.1,1.1,198.9
Cooper Kupp,LAR,104.1,1324.8,8.7,7.1,74.7,0.9,0.6,196.2
Tyreek Hill,MIA,105.5,1402.5,7.8,9.5,57.1,0.6,0.5,194.9
CeeDee Lamb,DAL,99.7,1307.2,7.9,8.5,55.4,0.2,0.5,184.3
Stefon Diggs,BUF,96.8,1285.8,8.5,0.8,3.9,0,0.6,178.6
Davante Adams,LV,93,1221,8.8,1.8,6.7,0.1,0.5,174.8
A.J. Brown,PHI,79.1,1209.2,8.7,0.4,4.6,0,0.6,172.4
Jaylen Waddle,MIA,79.5,1179.6,6.5,4.1,35.8,0.3,0.6,160.7
Amon-Ra St. Brown,DET,102.3,1157.3,5.7,7.8,62.3,0.4,0.4,158.3
Deebo Samuel,SF,71,896.7,3.9,43,259,2.5,1.5,150.8
Garrett Wilson,NYJ,84.8,1144.1,6,1.9,3.3,0,0.7,149.5
Amari Cooper,CLE,75,1057.4,7.3,0.7,1.9,0,0.3,149
Tee Higgins,CIN,80.2,1088.5,6.5,0.7,2.9,0,0.5,147.2
Chris Olave,NO,82,1143.7,5.7,0,0.2,0,1.4,145.5
Christian Watson,GB,70.1,958,6.1,7.4,66.6,1,0.3,144.4
DeVonta Smith,PHI,83.8,1058.1,6.3,0,0.2,0,0.6,142.1
DK Metcalf,SEA,82,1007.8,7.1,0.2,1.3,0,0.8,141.9
Calvin Ridley,JAC,81.5,1034.2,6.4,1.7,4.2,0,0.5,141.3
Jerry Jeudy,DEN,74.1,1058.7,5.7,1.5,15.4,0,0.3,140.8
Terry McLaurin,WAS,72.9,1037.7,5.2,3.1,19.2,0.1,0.4,136.6
Mike Williams,LAC,71.1,995.5,6,1.2,5.3,0,0.3,135.4
Keenan Allen,LAC,90,1008.2,5.5,1.6,8.9,0,0.6,134
Christian Kirk,JAC,76,945.5,6.2,3.3,19.9,0.1,0.4,133.2
