"Player.Name.","X.Team.","rush_att.","rush_yds.","rush_tds.","rec_att.","rec_yds.","rec_tds.","fumbles.","fpts."
"Jamaal Charles","KC",253.4,1294.2,9.6,67.3,599.1,4,2,266.9
"LeSean McCoy","PHI",289.5,1450.9,10.1,43.3,384.9,2.5,2,255.2
"Matt Forte","CHI",274.4,1271.8,7.8,66.7,543.4,2.9,2,241.7
"Adrian Peterson","MIN",296,1378.7,11.1,42.3,274.1,1.5,2.5,235.9
"Eddie Lacy","GB",274.2,1243,10.6,37.5,271.8,1,1,219.1
"DeMarco Murray","DAL",228.7,1121.6,8.8,55.8,414.4,1,2,208.4
"Montee Ball","DEN",247.5,1124.1,9.4,48.5,338.8,1.5,2.5,206.7
"Le'Veon Bell","PIT",267.8,1139.5,8.4,49.4,377.8,0.9,1,205.5
"Marshawn Lynch","SEA",276.4,1212.6,10.1,26.8,208.5,1,2,204.7
"Arian Foster","HOU",264.4,1164.5,7.2,45.9,360.1,1.6,2,201.3
"Giovani Bernard","CIN",230.4,1076.9,5.1,56.9,501.2,2.9,2.5,200.8
"Doug Martin","TB",275.3,1183.8,8,35.4,267.9,1.5,2,198.2
"Alfred Morris","WAS",269.3,1292.3,9.3,13.2,101.6,0.3,2.5,192
"Zac Stacy","STL",283.8,1198.5,8.6,28.8,183.7,0.8,2,190.6
"Toby Gerhart","JAC",271.6,1127.1,6.9,37.4,272.8,1,1.5,184.4
"Andre Ellington","ARI",195.2,973.6,4.3,52.1,459.8,2.2,1.5,179.3
"Bishop Sankey","TEN",251.2,1087.2,5.9,33.4,255.9,1.2,1.5,173.9
"Ryan Mathews","SD",256.4,1115.5,6.6,22.4,165.8,0.6,1.5,168.3
"Reggie Bush","DET",189.4,887.5,3.9,48.4,430,2.8,2.5,167
"Frank Gore","SF",242.8,1071.5,7.7,17.2,138.3,0,1,165.2
"C.J. Spiller","BUF",207.1,1025.9,5.5,37.4,279.1,1.1,2.5,165.1
"Ray Rice","BAL",203.4,868.2,6,47.9,361.2,1.5,2,163.9
"Joique Bell","DET",203.1,867.5,6.3,43,361.3,1.2,2.5,162.9
"Trent Richardson","IND",246.5,941.5,6.3,42.6,321.8,0.7,3,162.3
"Rashad Jennings","NYG",216.4,941.4,6.3,37.9,278.6,1,2,161.8
"Chris Johnson","NYJ",229.1,956.1,5.3,38,291.4,1.4,2.5,160
"Shane Vereen","NE",125.3,572.7,2.6,66.1,605.2,4.4,1,157.8
