"Player.Name.","X.Team.","rec_att.","rec_yds.","rec_tds.","fumbles.","fpts."
"Jimmy Graham","NO",87.7,1180.3,12.9,0,195.4
"Julius Thomas","DEN",76.2,937.8,10.9,0.5,158.2
"Rob Gronkowski","NE",68,915.7,9.5,0,148.6
"Vernon Davis","SF",60.2,822.5,9.7,0.5,139.5
"Jason Witten","DAL",76.7,850.9,6.5,0,124.1
"Jordan Cameron","CLE",74.5,880,5.9,0.5,122.4
"Dennis Pitta","BAL",64.5,759.8,6.8,0,116.8
"Greg Olsen","CAR",72.3,836.7,5.5,0.5,115.7
"Jordan Reed","WAS",64.8,762.8,6.5,0,115.3
"Kyle Rudolph","MIN",63.3,688.7,7,0,110.9
"Zach Ertz","PHI",56.2,712.8,5.6,0.5,103.9
"Martellus Bennett","CHI",62.5,722.9,5,0.5,101.3
"Heath Miller","PIT",61.6,682.2,5,1,96.2
"Ladarius Green","SD",45.9,655.4,5.1,0,96.1
"Antonio Gates","SD",62.5,700.7,4.5,0.5,96.1
"Delanie Walker","TEN",58,610.1,5.6,0.5,93.6
"Charles Clay","MIA",57.1,664.7,4.7,1,92.7
"Eric Ebron","DET",46.1,584.9,5.6,0,92.1
"Jared Cook","STL",48.5,582.1,4.4,1,82.6
"Dwayne Allen","IND",43.5,530.3,4.9,0,82.4
"Garrett Graham","HOU",45.9,505.3,4.1,0,75.1
"Tyler Eifert","CIN",41.7,508.7,3.8,0,73.7
"Jace Amaro","NYJ",40,509.6,3.6,0,72.6
"Scott Chandler","BUF",45.3,514.3,3.6,1,71
"Marcedes Lewis","JAC",39.6,451.6,3.7,0,67.4
"Coby Fleener","IND",35.7,432.1,3.7,0,65.4
"Brent Celek","PHI",35.8,436.9,3.5,0.5,63.7
"Zach Miller","SEA",33.3,379.9,3.4,0,58.4
"Jermaine Gresham","CIN",36.6,401.9,3.1,1.5,55.8
"Travis Kelce","KC",33,390.5,2.5,0.5,53.1
"Adrien Robinson","NYG",31.8,403.5,2.1,0,53
"Mychal Rivera","OAK",32,356.1,2.8,0,52.4
"Austin Seferian-Jenkins","TB",27.4,316.8,3.3,0,51.5
"Owen Daniels","BAL",30.9,348.7,2.5,0,49.9
"Levine Toilolo","ATL",26.9,326.9,2.8,0,49.5
"Brandon Bostick","GB",23.4,336.3,2.8,0.5,49.1
